-----------------------------
1521232630.729,starting test
1521232639.343,26:94:08:39:24:90,-63
1521232639.346,FD:99:D9:69:5D:BC,-53
1521232639.348,61:B8:47:F5:59:8C,-101
1521232639.560,26:94:08:39:24:90,-56
1521232639.562,E5:3B:3A:53:DF:6C,-53
1521232639.562,E5:3B:3A:53:DF:6C,-53
1521232639.563,62:38:F8:A7:CC:31,-88
1521232639.568,D9:86:6F:AF:E8:90,-54
1521232639.588,D9:86:6F:AF:E8:90,-54
1521232639.592,C8:2F:80:DA:26:94,-56
1521232639.594,C8:2F:80:DA:26:94,-56
1521232639.595,EC:8F:47:27:6C:DE,-53
1521232639.597,EC:8F:47:27:6C:DE,-53
1521232639.618,E8:FA:0D:3C:01:82,-53
1521232639.640,E8:FA:0D:3C:01:82,-53
1521232639.644,DC:94:C8:A9:D0:B6,-58
1521232639.647,DC:94:C8:A9:D0:B6,-58
1521232639.892,5F:17:B5:B3:51:A4,-101
1521232639.892,CB:3C:59:5F:87:FB,-51
1521232639.894,55:24:CF:EA:82:DD,-96
1521232639.916,62:38:F8:A7:CC:31,-83
1521232639.945,62:38:F8:A7:CC:31,-83
1521232640.159,F1:4E:55:EA:ED:A4,-55
1521232640.159,F1:4E:55:EA:ED:A4,-55
1521232640.160,61:B8:47:F5:59:8C,-98
1521232640.161,98:9E:63:42:70:FD,-98
1521232640.173,98:9E:63:42:70:FD,-98
1521232640.175,E9:0D:4A:6D:31:59,-53
1521232640.177,E9:0D:4A:6D:31:59,-53
1521232640.181,D9:86:6F:AF:E8:90,-53
1521232640.186,D9:86:6F:AF:E8:90,-51
1521232640.190,75:33:23:D6:E1:5E,-92
1521232640.192,3C:15:C2:C7:F7:27,-93
1521232640.195,3C:15:C2:C7:F7:27,-93
1521232640.197,98:9E:63:42:70:FD,-102
1521232640.200,EC:8F:47:27:6C:DE,-53
1521232640.214,61:B8:47:F5:59:8C,-98
1521232640.228,61:B8:47:F5:59:8C,-100
1521232640.230,98:9E:63:42:70:FD,-98
1521232640.233,98:9E:63:42:70:FD,-101
1521232640.243,E8:FA:0D:3C:01:82,-53
1521232640.245,E8:FA:0D:3C:01:82,-52
1521232640.248,FD:99:D9:69:5D:BC,-53
1521232640.250,FD:99:D9:69:5D:BC,-53
1521232640.464,DC:94:C8:A9:D0:B6,-58
1521232640.464,DC:94:C8:A9:D0:B6,-58
1521232640.466,EC:8F:47:27:6C:DE,-53
1521232640.468,EC:8F:47:27:6C:DE,-53
1521232640.470,62:38:F8:A7:CC:31,-91
1521232640.477,C2:57:36:E6:71:6E,-58
1521232640.488,C2:57:36:E6:71:6E,-58
1521232640.493,26:94:08:39:24:90,-56
1521232640.500,CB:3C:59:5F:87:FB,-54
1521232640.545,CB:3C:59:5F:87:FB,-54
1521232640.757,F8:77:B8:B9:2D:74,-101
1521232640.758,3C:A6:AC:EA:50:9C,-103
1521232640.764,F1:4E:55:EA:ED:A4,-53
1521232640.794,F1:4E:55:EA:ED:A4,-53
1521232640.796,62:38:F8:A7:CC:31,-97
1521232640.801,98:9E:63:42:70:FD,-100
1521232640.807,98:9E:63:42:70:FD,-101
1521232640.809,61:B8:47:F5:59:8C,-101
1521232640.817,C8:2F:80:DA:26:94,-52
1521232640.825,C8:2F:80:DA:26:94,-52
1521232640.829,62:38:F8:A7:CC:31,-90
1521232640.834,98:9E:63:42:70:FD,-98
1521232640.841,98:9E:63:42:70:FD,-101
1521232640.843,61:B8:47:F5:59:8C,-99
1521232640.856,62:38:F8:A7:CC:31,-88
1521232640.859,62:38:F8:A7:CC:31,-88
1521232640.861,E8:FA:0D:3C:01:82,-53
1521232640.865,DC:94:C8:A9:D0:B6,-53
1521232640.873,DC:94:C8:A9:D0:B6,-53
1521232640.877,61:B8:47:F5:59:8C,-98
1521232640.880,61:B8:47:F5:59:8C,-101
1521232640.882,EC:8F:47:27:6C:DE,-53
1521232640.890,EC:8F:47:27:6C:DE,-53
1521232640.891,62:38:F8:A7:CC:31,-88
1521232640.891,62:38:F8:A7:CC:31,-89
1521232641.130,26:94:08:39:24:90,-56
1521232641.131,62:38:F8:A7:CC:31,-90
1521232641.132,62:38:F8:A7:CC:31,-91
1521232641.132,CB:3C:59:5F:87:FB,-54
1521232641.133,CB:3C:59:5F:87:FB,-54
1521232641.148,62:38:F8:A7:CC:31,-98
1521232641.150,C2:57:36:E6:71:6E,-58
1521232641.174,C2:57:36:E6:71:6E,-58
1521232641.177,F1:4E:55:EA:ED:A4,-55
1521232641.179,F1:4E:55:EA:ED:A4,-55
1521232641.181,62:38:F8:A7:CC:31,-98
1521232641.401,7F:4B:65:4E:9A:05,-100
1521232641.410,7F:4B:65:4E:9A:05,-98
1521232641.411,D9:86:6F:AF:E8:90,-53
1521232641.414,D9:86:6F:AF:E8:90,-53
1521232641.416,E9:0D:4A:6D:31:59,-54
1521232641.418,E9:0D:4A:6D:31:59,-54
1521232641.419,C1:96:24:5B:EB:97,-50
1521232641.421,C1:96:24:5B:EB:97,-50
1521232641.424,E5:3B:3A:53:DF:6C,-52
1521232641.427,E5:3B:3A:53:DF:6C,-52
1521232641.431,C8:2F:80:DA:26:94,-54
1521232641.437,62:38:F8:A7:CC:31,-90
1521232641.463,62:38:F8:A7:CC:31,-91
1521232641.477,75:33:23:D6:E1:5E,-101
1521232641.478,55:24:CF:EA:82:DD,-96
1521232641.482,62:38:F8:A7:CC:31,-87
1521232641.483,62:38:F8:A7:CC:31,-87
1521232641.483,FD:99:D9:69:5D:BC,-53
1521232641.484,FD:99:D9:69:5D:BC,-53
1521232641.488,DC:94:C8:A9:D0:B6,-56
1521232641.490,DC:94:C8:A9:D0:B6,-56
1521232641.710,98:9E:63:42:70:FD,-98
1521232641.710,62:38:F8:A7:CC:31,-84
1521232641.711,62:38:F8:A7:CC:31,-84
1521232641.711,EC:8F:47:27:6C:DE,-53
1521232641.711,EC:8F:47:27:6C:DE,-53
1521232641.713,B8:E8:56:16:06:B7,-103
1521232641.719,E8:FA:0D:3C:01:82,-52
1521232641.733,E8:FA:0D:3C:01:82,-52
1521232641.737,62:38:F8:A7:CC:31,-84
1521232641.739,62:38:F8:A7:CC:31,-86
1521232641.743,CB:3C:59:5F:87:FB,-50
1521232641.745,CB:3C:59:5F:87:FB,-50
1521232641.747,26:94:08:39:24:90,-65
1521232641.761,62:38:F8:A7:CC:31,-86
1521232641.769,62:38:F8:A7:CC:31,-87
1521232641.772,C2:57:36:E6:71:6E,-56
1521232641.776,C2:57:36:E6:71:6E,-56
1521232642.294,D9:86:6F:AF:E8:90,-54
1521232642.313,D9:86:6F:AF:E8:90,-54
1521232642.316,DC:94:C8:A9:D0:B6,-58
1521232642.318,DC:94:C8:A9:D0:B6,-58
