-----------------------------
1520460139.607,starting test
1520460154.314,E5:3B:3A:53:DF:6C,-55
1520460154.314,DC:94:C8:A9:D0:B6,-55
1520460154.316,DC:94:C8:A9:D0:B6,-55
1520460154.317,C2:57:36:E6:71:6E,-55
1520460154.321,C2:57:36:E6:71:6E,-55
1520460154.323,EC:8F:47:27:6C:DE,-56
1520460154.331,EC:8F:47:27:6C:DE,-56
1520460154.332,F1:4E:55:EA:ED:A4,-55
1520460154.333,F1:4E:55:EA:ED:A4,-55
1520460154.338,CB:3C:59:5F:87:FB,-55
1520460154.339,CB:3C:59:5F:87:FB,-55
1520460154.346,1F:9C:A1:B9:1A:73,-55
1520460154.635,FD:99:D9:69:5D:BC,-53
